Order ID,Transaction ID,Product ID,Product Name,Product Quantity,Shipping Status
OR00001,TR00001,PR00001,Product 1,8,Pending
OR00002,TR00002,PR00002,Product 2,4,Delivered
OR00003,TR00003,PR00003,Product 3,5,Shipped
OR00004,TR00004,PR00004,Product 4,3,Pending
OR00005,TR00005,PR00005,Product 5,9,Delivered
OR00006,TR00006,PR00006,Product 6,6,Delivered
OR00007,TR00007,PR00007,Product 7,3,Pending
OR00008,TR00008,PR00008,Product 8,4,Delivered
OR00009,TR00009,PR00009,Product 9,1,Pending
OR00010,TR00010,PR00010,Product 10,8,Pending
OR00011,TR00011,PR00011,Product 11,7,Shipped
OR00012,TR00012,PR00012,Product 12,5,Pending
OR00013,TR00013,PR00013,Product 13,2,Delivered
OR00014,TR00014,PR00014,Product 14,4,Delivered
OR00015,TR00015,PR00015,Product 15,3,Delivered
OR00016,TR00016,PR00016,Product 16,1,Pending
OR00017,TR00017,PR00017,Product 17,8,Shipped
OR00018,TR00018,PR00018,Product 18,10,Pending
OR00019,TR00019,PR00019,Product 19,6,Shipped
OR00020,TR00020,PR00020,Product 20,3,Shipped
OR00021,TR00021,PR00021,Product 21,9,Shipped
OR00022,TR00022,PR00022,Product 22,8,Pending
OR00023,TR00023,PR00023,Product 23,9,Shipped
OR00024,TR00024,PR00024,Product 24,2,Delivered
OR00025,TR00025,PR00025,Product 25,5,Delivered
OR00026,TR00026,PR00026,Product 26,1,Pending
OR00027,TR00027,PR00027,Product 27,7,Delivered
OR00028,TR00028,PR00028,Product 28,2,Pending
OR00029,TR00029,PR00029,Product 29,7,Shipped
OR00030,TR00030,PR00030,Product 30,1,Delivered
OR00031,TR00031,PR00031,Product 31,3,Delivered
OR00032,TR00032,PR00032,Product 32,6,Pending
OR00033,TR00033,PR00033,Product 33,2,Delivered
OR00034,TR00034,PR00034,Product 34,8,Delivered
OR00035,TR00035,PR00035,Product 35,5,Pending
OR00036,TR00036,PR00036,Product 36,1,Delivered
OR00037,TR00037,PR00037,Product 37,9,Shipped
OR00038,TR00038,PR00038,Product 38,1,Delivered
OR00039,TR00039,PR00039,Product 39,8,Delivered
OR00040,TR00040,PR00040,Product 40,5,Shipped
OR00041,TR00041,PR00041,Product 41,10,Shipped
OR00042,TR00042,PR00042,Product 42,8,Shipped
OR00043,TR00043,PR00043,Product 43,8,Shipped
OR00044,TR00044,PR00044,Product 44,3,Delivered
OR00045,TR00045,PR00045,Product 45,1,Delivered
OR00046,TR00046,PR00046,Product 46,10,Pending
OR00047,TR00047,PR00047,Product 47,7,Pending
OR00048,TR00048,PR00048,Product 48,8,Delivered
OR00049,TR00049,PR00049,Product 49,8,Pending
OR00050,TR00050,PR00050,Product 50,6,Pending
OR00051,TR00051,PR00051,Product 51,4,Shipped
OR00052,TR00052,PR00052,Product 52,7,Delivered
OR00053,TR00053,PR00053,Product 53,1,Shipped
OR00054,TR00054,PR00054,Product 54,4,Delivered
OR00055,TR00055,PR00055,Product 55,6,Shipped
OR00056,TR00056,PR00056,Product 56,3,Shipped
OR00057,TR00057,PR00057,Product 57,8,Shipped
OR00058,TR00058,PR00058,Product 58,10,Pending
OR00059,TR00059,PR00059,Product 59,7,Delivered
OR00060,TR00060,PR00060,Product 60,1,Shipped
OR00061,TR00061,PR00061,Product 61,7,Shipped
OR00062,TR00062,PR00062,Product 62,8,Delivered
OR00063,TR00063,PR00063,Product 63,9,Shipped
OR00064,TR00064,PR00064,Product 64,3,Delivered
OR00065,TR00065,PR00065,Product 65,10,Pending
OR00066,TR00066,PR00066,Product 66,4,Shipped
OR00067,TR00067,PR00067,Product 67,2,Delivered
OR00068,TR00068,PR00068,Product 68,7,Pending
OR00069,TR00069,PR00069,Product 69,1,Shipped
OR00070,TR00070,PR00070,Product 70,9,Pending
OR00071,TR00071,PR00071,Product 71,10,Delivered
OR00072,TR00072,PR00072,Product 72,9,Shipped
OR00073,TR00073,PR00073,Product 73,8,Delivered
OR00074,TR00074,PR00074,Product 74,9,Pending
OR00075,TR00075,PR00075,Product 75,5,Pending
OR00076,TR00076,PR00076,Product 76,9,Pending
OR00077,TR00077,PR00077,Product 77,7,Pending
OR00078,TR00078,PR00078,Product 78,5,Delivered
OR00079,TR00079,PR00079,Product 79,8,Delivered
OR00080,TR00080,PR00080,Product 80,9,Shipped
OR00081,TR00081,PR00081,Product 81,3,Shipped
OR00082,TR00082,PR00082,Product 82,6,Pending
OR00083,TR00083,PR00083,Product 83,5,Shipped
OR00084,TR00084,PR00084,Product 84,5,Shipped
OR00085,TR00085,PR00085,Product 85,9,Pending
OR00086,TR00086,PR00086,Product 86,7,Delivered
OR00087,TR00087,PR00087,Product 87,10,Shipped
OR00088,TR00088,PR00088,Product 88,1,Pending
OR00089,TR00089,PR00089,Product 89,8,Pending
OR00090,TR00090,PR00090,Product 90,1,Delivered
OR00091,TR00091,PR00091,Product 91,9,Pending
OR00092,TR00092,PR00092,Product 92,8,Shipped
OR00093,TR00093,PR00093,Product 93,8,Delivered
OR00094,TR00094,PR00094,Product 94,5,Shipped
OR00095,TR00095,PR00095,Product 95,5,Shipped
OR00096,TR00096,PR00096,Product 96,2,Delivered
OR00097,TR00097,PR00097,Product 97,1,Pending
OR00098,TR00098,PR00098,Product 98,8,Delivered
OR00099,TR00099,PR00099,Product 99,6,Shipped
OR00100,TR00100,PR00100,Product 100,7,Shipped
